id,title,content,examples,text,topic,difficulty,level
49,Functions,Functions are reusable blocks of code that perform specific tasks. Define them with def.,"['def greet():', ""    print('Hello!')"", '', 'greet()']",Lesson 49: Functions Functions are reusable blocks of code that perform specific tasks. Define them with def. Examples: def greet(): print('Hello!') greet(),Python Basics,Beginner,1
50,Function Parameters,"Functions can take parameters, which are values you pass in.","['def greet(name):', ""    print('Hello,', name)"", '', ""greet('John')""]","Lesson 50: Function Parameters Functions can take parameters, which are values you pass in. Examples: def greet(name): print('Hello,', name) greet('John')",Python Basics,Beginner,1
51,Return Values,Functions can return values using the return keyword.,"['def add(a, b):', '    return a + b', '', 'result = add(3, 4)', 'print(result)']","Lesson 51: Return Values Functions can return values using the return keyword. Examples: def add(a, b): return a + b result = add(3, 4) print(result)",Python Basics,Beginner,1
52,Default Parameters,You can give function parameters default values.,"[""def greet(name='friend'):"", ""    print('Hello,', name)"", '', 'greet()', ""greet('John')""]","Lesson 52: Default Parameters You can give function parameters default values. Examples: def greet(name='friend'): print('Hello,', name) greet() greet('John')",Python Basics,Beginner,1
53,Scope of Variables,Variables created inside functions exist only inside them (local scope).,"['def example():', '    x = 5', '    print(x)', '', 'example()', '# print(x) ❌ This would cause an error']",Lesson 53: Scope of Variables Variables created inside functions exist only inside them (local scope). Examples: def example(): x = 5 print(x) example() # print(x) ❌ This would cause an error,Python Basics,Beginner,1
54,Importing Modules,Modules are files that contain Python code you can reuse. Use import to include them.,"['import math', 'print(math.sqrt(16))']",Lesson 54: Importing Modules Modules are files that contain Python code you can reuse. Use import to include them. Examples: import math print(math.sqrt(16)),Python Basics,Beginner,1
55,Random Numbers,The random module can generate random numbers or choices.,"['import random', 'print(random.randint(1, 10))', ""print(random.choice(['apple', 'banana', 'cherry']))""]","Lesson 55: Random Numbers The random module can generate random numbers or choices. Examples: import random print(random.randint(1, 10)) print(random.choice(['apple', 'banana', 'cherry']))",Python Basics,Beginner,1
56,Working with Strings and Numbers Together,"You can’t add strings and numbers directly, but you can use commas in print() or convert using str().","['age = 21', ""print('I am', age, 'years old.')"", ""print('I am ' + str(age) + ' years old.')""]","Lesson 56: Working with Strings and Numbers Together You can’t add strings and numbers directly, but you can use commas in print() or convert using str(). Examples: age = 21 print('I am', age, 'years old.') print('I am ' + str(age) + ' years old.')",Python Basics,Beginner,1
57,File Reading,Use open() and read() to read text from a file.,"[""file = open('example.txt', 'r')"", 'content = file.read()', 'print(content)', 'file.close()']","Lesson 57: File Reading Use open() and read() to read text from a file. Examples: file = open('example.txt', 'r') content = file.read() print(content) file.close()",Python Basics,Beginner,1
58,File Writing,You can write to files using the 'w' mode with open(). Be careful—it replaces the file’s contents.,"[""file = open('example.txt', 'w')"", ""file.write('Hello file!')"", 'file.close()']","Lesson 58: File Writing You can write to files using the 'w' mode with open(). Be careful—it replaces the file’s contents. Examples: file = open('example.txt', 'w') file.write('Hello file!') file.close()",Python Basics,Beginner,1
59,With Statement for Files,Using with automatically closes the file when done.,"[""with open('example.txt', 'r') as file:"", '    print(file.read())']","Lesson 59: With Statement for Files Using with automatically closes the file when done. Examples: with open('example.txt', 'r') as file: print(file.read())",Python Basics,Beginner,1
60,Putting It All Together,"You can combine variables, loops, conditionals, and functions to make small programs.","['def greet_users(users):', '    for name in users:', '        if len(name) > 3:', ""            print('Hello,', name)"", '', ""greet_users(['Ali', 'John', 'Bo'])""]","Lesson 60: Putting It All Together You can combine variables, loops, conditionals, and functions to make small programs. Examples: def greet_users(users): for name in users: if len(name) > 3: print('Hello,', name) greet_users(['Ali', 'John', 'Bo'])",Python Basics,Beginner,1
